,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,출연,평점
1234,1724 기방난동사건,여균동,싸이더스,2008-12-03,장편,한국,337,1886195121,286657,사극,15세관람가,일반영화,2008,12,겨울,147428639,"['이정재', '김석훈', '김옥빈']",5.44
1235,커뮤터,자움 콜렛 세라,플러스엠 엔터테인먼트,2018-01-24,장편,영국,575,2286590955,286042,액션,15세관람가,일반영화,2018,1,겨울,216385269,"['리암 니슨', '베라 파미가']",8.12
1236,신데렐라:마법 반지의 비밀,린 사우더랜드,예지림엔터테인먼트,2019-02-20,장편,미국,575,2113630240,284755,애니메이션,전체관람가,일반영화,2019,2,겨울,226678777,"['사문영', '김혜성', '남도형']",6.32
1237,88분,존 애브넛,프라임엔터테인먼트,2008-05-29,장편,미국,199,1863411167,284619,드라마,15세관람가,일반영화,2008,5,봄,147428639,['알 파치노'],6.72
1238,후드,오토 바서스트,이수C&E,2018-11-28,장편,미국,628,2203434149,284601,어드벤처,12세관람가,일반영화,2018,11,가을,216385269,"['태런 에저튼', '제이미 폭스', '벤 멘델슨', '제이미 도넌']",6.48
1239,버킷 리스트:죽기전에 꼭 하고싶은것들,롭 라이너, 해리슨앤컴퍼니,2008-04-09,장편,미국,56,1854707334,284360,코미디,12세관람가,독립/예술영화,2008,4,봄,147428639,"['잭 니콜슨', '모건 프리먼']",9.1
1240,런,아니쉬 차간티,올스타엔터테인먼트,2020-11-20,장편,미국,799,2608259370,284141,미스터리,15세관람가,일반영화,2020,11,가을,59523967,"['사라 폴슨', '키에라 앨<b>런</b>']",8.22
1241,네버엔딩 스토리,정용주,화앤담이엔티,2012-01-18,장편,한국,269,2106823000,283449,코미디,15세관람가,일반영화,2012,1,겨울,194890587,"['엄태웅', '정려원']",7.44
1242,다이노 타임,존 카프카,씨제이이엔엠,2015-04-30,장편,한국,430,2099683100,283300,애니메이션,전체관람가,일반영화,2015,4,봄,217299523,"['멜라니 그리피스', '제인 린치', '윌리암 볼드윈', '스티븐 볼드윈', '롭 슈나이더', '파멜라 애들론', '타라 스트롱', '유리 로웬탈']",8.4
1243,인서전트,로베르트 슈벤트케,롯데엔터테인먼트,2015-03-25,장편,미국,480,2158449889,282662,SF,15세관람가,일반영화,2015,3,봄,217299523,"['쉐일린 우들리', '테오 제임스', '케이트 윈슬렛', '나오미 왓츠', '매기 큐', '안셀 엘고트', '마일즈 텔러', '조니 웨스턴', '대니얼 대 킴']",6.96
1244,프레데터스,님로드 안탈,이십세기폭스코리아,2010-08-26,장편,미국,230,2025850507,281642,액션,15세관람가,일반영화,2010,8,여름,147759214,"['애드리언 브로디', '앨리스 브라가']",6.41
1245,극장판 안녕 자두야,손석우,씨제이이엔엠,2016-05-04,장편,한국,523,2124832300,278914,애니메이션,전체관람가,일반영화,2016,5,봄,217026182,"['여민정', '양정화']",7.82
1246,사랑에 대한 모든 것,제임스 마쉬,유니버설픽쳐스인터내셔널 코리아,2014-12-10,장편,미국,399,2162660589,278015,멜로/로맨스,12세관람가,일반영화,2014,12,겨울,215068958,"['펠리시티 존스', '에디 레드메인', '에밀리 왓슨', '데이빗 듈리스', '해리 로이드', '찰리 콕스']",7.99
1247,원스 어폰 어 타임... 인 할리우드,쿠엔틴 타란티노,소니픽쳐스엔터테인먼트코리아극장배급지점,2019-09-25,장편,미국,678,2269807670,277319,드라마,청소년관람불가,일반영화,2019,9,가을,226678777,"['레오나르도 디카프리오', '브래드 피트', '마고 로비']",7.71
1248,드래그 미 투 헬,샘 레이미,케이디미디어,2009-06-11,장편,미국,242,1873729372,277224,공포(호러),15세관람가,일반영화,2009,6,여름,155398654,"['알리슨 로먼', '저스틴 롱']",7.06
1249,존 윅 - 리로드,채드 스타헬스키,제이앤씨미디어그룹,2017-02-22,장편,미국,250,2205582600,276379,액션,청소년관람불가,일반영화,2017,2,겨울,219876227,['키아누 리브스'],8.06
1250,우리는 동물원을 샀다,카메론 크로우,이십세기폭스코리아,2012-01-18,장편,미국,235,1993190500,276334,가족,전체관람가,일반영화,2012,1,겨울,194890587,"['맷 데이먼', '스칼릿 조핸슨']",8.89
1251,스트리트 킹,데이비드 에이어,이십세기폭스코리아,2008-04-17,장편,미국,242,1781772500,274628,범죄,청소년관람불가,일반영화,2008,4,봄,147428639,"['키아누 리브스', '포레스트 휘태커']",7.09
1252,카운트,권혁재,씨제이이엔엠,2023-02-22,장편,한국,946,2614047325,274283,드라마,12세관람가,일반영화,2023,2,겨울,112805094,"['진선규', '성유빈', '오나라', '고창석', '장동주', '고규필', '김민호']",8.81
1253,눈의 여왕,막심 스베쉬니코브,넥스트엔터테인먼트월드,2013-02-07,장편,기타,316,1823299000,274229,애니메이션,전체관람가,일반영화,2013,2,겨울,213351030,"['갈리나 티유니나', '안나 슈로치키나', '이반 오클로비스틴']",5.19
1254,목소리의 형태,야마다 나오코,디스테이션,2017-05-09,장편,일본,466,2141765014,272877,애니메이션,전체관람가,일반영화,2017,5,봄,219876227,"['이리노 미유', '하야미 사오리']",8.49
1255,바울,앤드류 하얏트,CBS,2018-10-31,장편,미국,227,2138266900,272749,드라마,15세관람가,독립/예술영화,2018,10,가을,216385269,"['제임스 폴크너', '제임스 카비젤']",9.16
1256,가루지기,신한솔,쇼박스,2008-04-30,장편,한국,311,1777787000,272648,드라마,청소년관람불가,일반영화,2008,4,봄,147428639,"['봉태규', '김예원']",4.43
1257,짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,마스이 소이치,롯데엔터테인먼트,2012-04-26,장편,일본,277,1804032000,272062,애니메이션,전체관람가,일반영화,2012,4,봄,194890587,"['야지마 아키코', '나라하시 미키', '후지와라 케이지']",8.1
1258,요가학원,윤재연,싸이더스,2009-08-20,장편,한국,251,1947834107,271514,공포(호러),15세관람가,일반영화,2009,8,여름,155398654,"['유진', '차수연', '조은지', '박한별']",2.54
1259,울프맨,조 존스톤,유니버설픽쳐스인터내셔널 코리아,2010-02-11,장편,미국,266,2099396881,270683,공포(호러),청소년관람불가,일반영화,2010,2,겨울,147759214,"['베니시오 델 토로', '안소니 홉킨스', '에밀리 블런트', '휴고 위빙']",4.93
1260,가비,장윤현,시네마서비스,2012-03-15,장편,한국,339,1969360500,270602,드라마,15세관람가,일반영화,2012,3,봄,194890587,"['주진모', '김소연', '박희순', '유선']",6.85
1261,롤러코스터,하정우,씨제이이엔엠,2013-10-17,장편,한국,374,1913087600,270148,코미디,15세관람가,일반영화,2013,10,가을,213351030,"['정경호', '한수현']",6.59
1262,모털 엔진,크리스찬 리버스,유니버설픽쳐스인터내셔널 코리아,2018-12-05,장편,미국,661,2329489119,268921,액션,12세관람가,일반영화,2018,12,겨울,216385269,"['휴고 위빙', '스티븐 랭', '로버트 시한', '헤라 힐마', '지혜']",6.12
1263,친구와 연인사이,이반 라이트만,씨제이이엔엠,2011-02-10,장편,미국,183,2099697500,267843,코미디,청소년관람불가,일반영화,2011,2,겨울,159724465,"['나탈리 포트만', '애쉬튼 커쳐']",7.42
1264,파이스토리 : 악당상어 소탕작전,마크 A.Z. 디페,에스비에스콘텐츠허브,2013-01-10,장편,미국,298,1807928000,267373,애니메이션,전체관람가,일반영화,2013,1,겨울,213351030,"['드레이크 벨', '앤디 딕']",8.69
1265,19곰 테드,세스 맥팔레인,유니버설픽쳐스인터내셔널 코리아,2012-09-27,장편,미국,248,2034959293,266574,코미디,청소년관람불가,일반영화,2012,9,가을,194890587,"['마크 월버그', '밀라 쿠니스', '세스 맥팔레인']",7.61
1266,백 투 더 비기닝,딘 이스라엘리트,롯데엔터테인먼트,2015-02-26,장편,미국,423,2016298400,266389,SF,15세관람가,일반영화,2015,2,겨울,217299523,"['소피아 블랙 디엘리아', '버지니아 가드너', '조니 웨스턴', '샘 러너', '엘렌 에반젤리스타']",7.99
1267,저스틴,마누엘 시실라,넥스트엔터테인먼트월드,2013-12-31,장편,기타,332,1764086000,266253,애니메이션,전체관람가,일반영화,2013,12,겨울,213351030,"['시얼샤 로넌', '안토니오 반데라스', '프레디 하이모어']",7.93
1268,투모로우랜드,브래드 버드,월트디즈니스튜디오스코리아,2015-05-27,장편,미국,435,2082869000,265744,액션,12세관람가,일반영화,2015,5,봄,217299523,"['조지 클루니', '휴 로리', '브릿 로버트슨', '래피 캐시디']",7.28
1269,마이 뉴 파트너,김종현,엠플러스픽쳐스,2008-03-06,장편,한국,220,1696902333,265323,액션,15세관람가,일반영화,2008,3,봄,147428639,"['안성기', '조한선']",7.49
1270,극장판 도라에몽: 진구의 인어대해전,쿠스바 고조,씨제이이엔엠,2010-07-28,장편,일본,144,1769482593,264918,애니메이션,전체관람가,일반영화,2010,7,여름,147759214,"['미즈타 와사비', '오오하라 메구미', '카카즈 유미', '키무라 스바루', '세키 토모카즈', '치아키', '타나카 리에', '이이즈카 마유미', '마야 미키', '누쿠미즈 요이치', '사카나군', '야마노 후비토', '켄도 코바야시']",8.13
1271,나를 차버린 스파이,수잔나 포겔,누리픽쳐스,2018-08-22,장편,미국,278,2346742100,264766,액션,15세관람가,일반영화,2018,8,여름,216385269,"['밀라 쿠니스', '케이트 맥키넌']",8.0
1272,악질경찰,이정범,워너브러더스 코리아,2019-03-20,장편,한국,833,2256615278,262233,범죄,청소년관람불가,일반영화,2019,3,봄,226678777,"['이선균', '전소니', '박해준']",5.88
1273,스파이 브릿지,스티븐 스필버그,이십세기폭스코리아,2015-11-05,장편,미국,425,2015360478,260721,스릴러,12세관람가,일반영화,2015,11,가을,217299523,"['톰 행크스', '마크 라이런스', '에이미 라이언', '오스틴 스토웰']",8.46
1274,원더,스티븐 크보스키,CGV아트하우스,2017-12-27,장편,미국,183,1988444689,260506,드라마,전체관람가,독립/예술영화,2017,12,겨울,219876227,"['제이콥 트렘블레이', '줄리아 로버츠', '오웬 윌슨', '이자벨라 비도빅']",9.53
1275,장고:분노의 추적자,쿠엔틴 타란티노,월트디즈니스튜디오스코리아,2013-03-21,장편,미국,342,1883634000,260144,서부극(웨스턴),청소년관람불가,일반영화,2013,3,봄,213351030,"['제이미 폭스', '크리스토프 왈츠', '레오나르도 디카프리오', '케리 워싱턴', '사무엘 L. 잭슨']",8.57
1276,공범자들,최승호,엣나인필름,2017-08-17,장편,한국,228,2017678800,258478,다큐멘터리,15세관람가,독립/예술영화,2017,8,여름,219876227,"['이명박', '김재철', '김장겸', '고대영']",9.09
1277,맥스 페인,존 무어,이십세기폭스코리아,2008-11-20,장편,미국,155,1629486000,257808,범죄,15세관람가,일반영화,2008,11,가을,147428639,"['마크 월버그', '밀라 쿠니스']",4.15
1278,함정,권형진,인벤트스톤,2015-09-10,장편,한국,445,2088685200,257716,스릴러,청소년관람불가,일반영화,2015,9,가을,217299523,"['마동석', '조한선', '김민경', '지안']",5.79
1279,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,야마모토 야스이치로,씨제이이엔엠,2015-02-12,장편,일본,187,1885543600,257381,애니메이션,12세관람가,일반영화,2015,2,겨울,217299523,"['김선혜', '강수진', '이현진', '이정구', '황원', '우정신', '한인숙', '정선혜', '여민정', '위훈', '박신희', '정재헌', '양정화', '타카야마 미나미', '야마구치 캇페이', '야마자키 와카나', '코야마 리키야', '타나카 카즈나리', '하야시바라 메구미', '타카기 와타루', '오오타니 이쿠에', '이와이 유키코', '카가와 테루유키']",8.21
1280,파이널 데스티네이션5,스티븐 쿼일,워너브러더스 코리아,2011-09-08,장편,미국,168,2370348500,257193,공포(호러),청소년관람불가,일반영화,2011,9,가을,159724465,"['니콜라스 디아고스토', '엠마 벨', '토니 토드']",6.53
1281,쓰리 데이즈,폴 해기스,롯데엔터테인먼트,2010-12-22,장편,미국,211,1882542699,257106,범죄,15세관람가,독립/예술영화,2010,12,겨울,147759214,"['러셀 크로우', '엘리자베스 뱅크스']",8.31
1282,언브로큰,안젤리나 졸리,유니버설픽쳐스인터내셔널 코리아,2015-01-07,장편,미국,401,1997947292,256475,액션,15세관람가,일반영화,2015,1,겨울,217299523,"['도널 글리슨', '가렛 헤드룬드', '알렉스 러셀', '잭 오코넬', '제이 코트니', '핀 위트록']",8.48
1283,카우보이 & 에이리언,존 파브로,씨제이이엔엠,2011-08-11,장편,미국,269,1930249000,256346,액션,15세관람가,일반영화,2011,8,여름,159724465,"['다니엘 크레이그', '해리슨 포드', '올리비아 와일드', '샘 록웰']",5.74
1284,기묘한 가족,이민재,플러스엠 엔터테인먼트,2019-02-13,장편,한국,625,2062904275,256202,코미디,12세관람가,일반영화,2019,2,겨울,226678777,"['정재영', '김남길', '엄지원', '이수경', '정가람', '박인환']",6.38
1285,밤의 여왕,김제영,인벤트스톤,2013-10-17,장편,한국,333,1762892500,252475,멜로/로맨스,15세관람가,일반영화,2013,10,가을,213351030,"['김민정', '천정명']",6.89
1286,노벰버 맨,로저 도널드슨,롯데엔터테인먼트,2014-10-16,장편,미국,395,1891131320,252444,액션,15세관람가,일반영화,2014,10,가을,215068958,"['피어스 브로스넌', '올가 쿠릴렌코', '루크 브레이시']",7.48
1287,불신지옥,이용주,쇼박스,2009-08-12,장편,한국,237,1818156353,251314,미스터리,15세관람가,일반영화,2009,8,여름,155398654,"['남상미', '류승룡', '김보연', '심은경']",7.94
1288,정글 크루즈,자움 콜렛 세라,월트디즈니스튜디오스코리아,2021-07-28,장편,미국,831,2307504720,251071,액션,12세관람가,일반영화,2021,7,여름,60531087,"['드웨인 존슨', '에밀리 블런트']",7.92
1289,비밀은 없다,이경미,씨제이이엔엠,2016-06-23,장편,한국,502,2027801239,250650,스릴러,청소년관람불가,일반영화,2016,6,여름,217026182,"['손예진', '김주혁']",6.8
1290,라스트 크리스마스,폴 페이그,유니버설픽쳐스인터내셔널 코리아,2019-12-05,장편,미국,623,2055043430,249380,코미디,12세관람가,일반영화,2019,12,겨울,226678777,"['에밀리아 클라크', '헨리 골딩']",6.94
1291,걸스카우트,김상만,롯데엔터테인먼트,2008-06-05,장편,한국,257,1534585000,249114,드라마,15세관람가,일반영화,2008,6,여름,147428639,"['김선아', '나문희', '이경실', '고준희']",5.89
1292,노크:낯선 자들의 방문,브라이언 버티노,영화사청어람,2008-07-02,장편,미국,180,1571432000,248943,공포(호러),15세관람가,일반영화,2008,7,여름,147428639,"['스코트 스피드먼', '리브 타일러', '젬마 워드', '로라 마골리스']",5.0
1293,DC 리그 오브 슈퍼-펫,샘 레빈,워너브러더스 코리아,2022-08-10,장편,미국,585,2322641159,248798,애니메이션,전체관람가,일반영화,2022,8,여름,112805094,"['드웨인 존슨', '케빈 하트', '키아누 리브스', '존 크래신스키']",7.71
1294,소셜포비아,홍석재,CGV아트하우스,2015-03-12,장편,한국,368,1950635763,248215,스릴러,15세관람가,독립/예술영화,2015,3,봄,217299523,"['변요한', '이주승', '류준열', '하윤경', '유대형', '박근록', '오희준', '임지호', '김용준', '정재우']",7.9
1295,공작부인:세기의 스캔들,사울 딥,넥스트엔터테인먼트월드,2008-10-16,장편,미국,195,1576695833,247373,사극,15세관람가,일반영화,2008,10,가을,147428639,"['키이라 나이틀리', '랄프 파인즈']",7.17
1296,뉴욕은 언제나 사랑 중,그리핀 던,싸이더스,2009-03-12,장편,미국,221,1685806671,247138,멜로/로맨스,15세관람가,일반영화,2009,3,봄,155398654,"['우마 서먼', '제프리 딘 모건', '콜린 퍼스', '샘 쉐퍼드', '린제이 슬로언', '저스티나 마샤도']",6.05
1297,월 스트리트: 머니 네버 슬립스,올리버 스톤,이십세기폭스코리아,2010-10-21,장편,미국,286,1788986817,245343,드라마,12세관람가,일반영화,2010,10,가을,147759214,"['샤이아 라보프', '마이클 더글라스', '캐리 멀리건', '찰리 쉰', '수잔 서랜든']",6.26
1298,엑스파일:나는 믿고싶다,크리스 카터,이십세기폭스코리아,2008-08-13,장편,미국,237,1614196833,244338,SF,15세관람가,일반영화,2008,8,여름,147428639,"['데이비드 듀코브니', '질리언 앤더슨']",5.51
1299,적과의 동침,박건용,쇼박스,2011-04-27,장편,한국,391,1740340000,243094,드라마,12세관람가,일반영화,2011,4,봄,159724465,"['김주혁', '정려원', '유해진']",7.52
1300,툼스톤,스콧 프랭크,인벤트스톤,2014-09-18,장편,미국,378,1875449247,242707,액션,청소년관람불가,일반영화,2014,9,가을,215068958,"['리암 니슨', '댄 스티븐스', '보이드 홀브룩']",7.58
1301,명탐정 코난:감벽의 관,야마모토 야스이치로,씨제이이엔엠,2018-02-14,장편,일본,487,1800316000,242164,애니메이션,12세관람가,일반영화,2018,2,겨울,216385269,"['김선혜', '강수진', '이현진', '이용신', '이정구']",8.39
1302,인터내셔널,톰 티크베어,한국소니픽쳐스릴리징브에나비스타영화,2009-02-26,장편,미국,199,1617695541,241669,액션,청소년관람불가,일반영화,2009,2,겨울,155398654,"['클라이브 오웬', '나오미 왓츠']",6.07
1303,캡틴 필립스,폴 그린그래스,월트디즈니스튜디오스코리아,2013-10-23,장편,미국,302,1679067434,241514,액션,15세관람가,일반영화,2013,10,가을,213351030,"['톰 행크스', '캐서린 키너', '바크하드 압디', '바크하드 압디라만', '파이살 아메드', '마핫 M. 알리']",9.05
1304,서치 2,니콜라스 D 존슨,소니픽쳐스엔터테인먼트코리아극장배급지점,2023-02-22,장편,미국,868,2342707702,241148,미스터리,12세관람가,일반영화,2023,2,겨울,112805094,"['스톰 레이드', '니아 롱', '다니엘 헤니', '켄 렁', '에이미 랜덱커']",8.76
1305,창문 넘어 도망친 100세 노인,플렉스 할그렌,영화사 빅,2014-06-18,장편,기타,300,1824795453,240990,어드벤처,15세관람가,독립/예술영화,2014,6,여름,215068958,"['로버트 구스타프슨', '이와 위클란더']",7.84
1306,아이 필 프리티,아비 콘,홈초이스,2018-06-06,장편,미국,213,2125902300,240148,코미디,15세관람가,일반영화,2018,6,여름,216385269,"['에이미 슈머', '미셸 윌리엄스']",8.58
1307,27번의 결혼리허설,앤 플레쳐,이십세기폭스코리아,2008-03-06,장편,미국,220,1592159556,239674,멜로/로맨스,15세관람가,일반영화,2008,3,봄,147428639,"['캐서린 헤이글', '제임스 마스던']",7.2
1308,서약,마이클 수치,한국소니픽쳐스릴리징브에나비스타영화,2012-03-14,장편,미국,314,1810275500,239483,드라마,15세관람가,일반영화,2012,3,봄,194890587,"['레이첼 맥아담스', '채닝 테이텀']",8.25
1309,미옥,이안규,키다리이엔티,2017-11-09,장편,한국,635,1897705564,238587,범죄,청소년관람불가,일반영화,2017,11,가을,219876227,"['김혜수', '이선균']",4.96
1310,하늘을 걷는 남자,로버트 저메키스,유니버설픽쳐스인터내셔널 코리아,2015-10-28,장편,미국,415,2267273653,238257,드라마,12세관람가,일반영화,2015,10,가을,217299523,"['조셉 고든 레빗', '벤 킹슬리', '샬롯 르 본', '제임스 뱃지 데일', '벤 슈와츠', '스티브 발렌타인']",8.44
1311,사랑은 너무 복잡해,낸시 마이어스,유니버설픽쳐스인터내셔널 코리아,2010-03-11,장편,미국,186,1770119256,238073,멜로/로맨스,청소년관람불가,독립/예술영화,2010,3,봄,147759214,"['메릴 스트립', '스티브 마틴', '알렉 볼드윈']",8.65
1312,그레이스 오브 모나코,올리비에 다한,쇼박스,2014-06-18,장편,프랑스,358,1752838200,237147,드라마,12세관람가,독립/예술영화,2014,6,여름,215068958,"['니콜 키드먼', '팀 로스', '프랭크 란젤라']",8.06
1313,해피 뉴 이어,곽재용,씨제이이엔엠,2021-12-29,장편,한국,832,2195273900,236642,멜로/로맨스,12세관람가,일반영화,2021,12,겨울,60531087,"['한지민', '이동욱', '강하늘', '윤아', '원진아', '이혜영', '정진영', '김영광', '서강준', '이광수', '고성희', '이진욱', '조준영', '원지안']",7.03
1314,줄리아의 눈,기옘 모랄레스,씨너스엔터테인먼트,2011-03-31,장편,기타,232,1827211000,236359,미스터리,청소년관람불가,일반영화,2011,3,봄,159724465,"['벨렌 루에다', '루이스 호마르', '파블로 데르키']",7.91
1315,뮬란,니키 카로,월트디즈니스튜디오스코리아,2020-09-17,장편,미국,1420,2079737620,236247,어드벤처,12세관람가,일반영화,2020,9,가을,59523967,['유역비'],4.07
1316,레고 무비,크리스 밀러,워너브러더스 코리아,2014-02-06,장편,미국,317,1601300200,236129,애니메이션,전체관람가,일반영화,2014,2,겨울,215068958,"['윌 페렐', '리암 니슨', '알리슨 브리', '엘리자베스 뱅크스', '모건 프리먼', '윌 아넷', '크리스 프랫']",8.47
1317,세이빙 산타,레온 주센,영화사 빅,2013-12-19,장편,영국,297,1520048000,235688,애니메이션,전체관람가,일반영화,2013,12,겨울,213351030,"['마틴 프리먼', '팀 커리', '팸 페리스']",7.76
1318,닌자터틀 : 어둠의 히어로,데이브 그린,롯데엔터테인먼트,2016-06-16,장편,미국,517,1934052000,235207,액션,12세관람가,일반영화,2016,6,여름,217026182,"['메간 폭스', '스티븐 아멜', '로라 리니', '윌 아넷']",8.36
1319,비행기,클레이 홀,월트디즈니스튜디오스코리아,2013-12-19,장편,미국,408,1671046500,233563,애니메이션,전체관람가,일반영화,2013,12,겨울,213351030,"['발 킬머', '테리 해처', '세드릭 더 엔터테이너', '줄리아 루이스 드레이퍼스', '브래드 거렛', '존 클리즈', '데인 쿡', '안소니 에드워즈', '프리앙카 초프라', '카를로스 엘라즈라퀴', '스테이시 키치']",7.46
1320,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,유야마 쿠니히코,롯데엔터테인먼트,2015-01-14,장편,일본,360,1653084000,233347,애니메이션,전체관람가,일반영화,2015,1,겨울,217299523,"['마츠모토 리카', '오오타니 이쿠에', '조현정', '이선호']",8.1
1321,드림 쏭,애쉬 브래넌,이수C&E,2016-09-14,장편,미국,399,1817437700,233283,애니메이션,전체관람가,독립/예술영화,2016,9,가을,217026182,"['J.K. 시몬스', '루크 윌슨', '에디 이자드', '맷 딜런', '메이 휘트먼', '샘 엘리어트', '엄상현', '이장원', '이현', '조현정', '소정환']",8.6
1322,강철대오:구국의 철가방,육상효,롯데엔터테인먼트,2012-10-25,장편,한국,366,1614867156,233211,코미디,15세관람가,일반영화,2012,10,가을,194890587,"['김인권', '유다인', '조정석', '박철민']",6.48
1323,내가 죽던 날,박지완,워너브러더스 코리아,2020-11-12,장편,한국,909,2135396020,233112,드라마,12세관람가,일반영화,2020,11,가을,59523967,"['김혜수', '이정은', '노정의']",8.01
1324,세븐 파운즈,가브리엘 무치노,한국소니픽쳐스릴리징브에나비스타영화,2009-02-05,장편,미국,190,1528213109,232972,드라마,15세관람가,일반영화,2009,2,겨울,155398654,"['윌 스미스', '로사리오 도슨', '우디 해럴슨']",7.54
1325,나일 강의 죽음,케네스 브래너,월트디즈니스튜디오스코리아,2022-02-09,장편,미국,1041,2242081480,232883,범죄,12세관람가,일반영화,2022,2,겨울,112805094,['케네스 브래너'],7.38
1326,디파이언스,에드워드 즈윅,엠플러스픽쳐스,2009-01-08,장편,미국,162,1551731322,232532,드라마,15세관람가,일반영화,2009,1,겨울,155398654,"['다니엘 크레이그', '리브 슈라이버', '제이미 벨']",8.23
1327,아바타 리마스터링,제임스 카메론,월트디즈니스튜디오스코리아,2022-09-21,장편,미국,285,3895090540,230712,SF,12세관람가,일반영화,2022,9,가을,112805094,"['샘 워싱턴', '조 샐다나', '시고니 위버', '스티븐 랭']",9.48
1328,폐가,이철하,시너지하우스 ,2010-08-19,장편,한국,160,1611889133,229610,공포(호러),15세관람가,일반영화,2010,8,여름,147759214,"['신경선', '윤이나', '전인걸', '현태호', '이화정', '신소율']",7.09
1329,메간,제라드 존스톤,유니버설픽쳐스인터내셔널 코리아,2023-01-25,장편,미국,704,2322663799,229558,공포(호러),15세관람가,일반영화,2023,1,겨울,112805094,"['앨리슨 윌리암스', '바이올렛 맥그로우']",7.39
1330,시카리오: 데이 오브 솔다도,스테파노 솔리마,코리아스크린,2018-06-27,장편,미국,261,1938637400,229542,액션,15세관람가,일반영화,2018,6,여름,216385269,"['베니시오 델 토로', '조슈 브롤린', '이사벨라 모너']",8.43
1331,순정,이은희,리틀빅픽쳐스,2016-02-24,장편,한국,467,1643792033,229059,드라마,12세관람가,일반영화,2016,2,겨울,217026182,"['도경수', '김소현', '연준석', '이다윗', '주아름', '김지호', '박해준', '박용우', '이대연']",8.86
1332,포스 카인드,올라턴드 오선샌미,넥스트엔터테인먼트월드,2010-02-25,장편,미국,189,1701070326,229014,SF,15세관람가,일반영화,2010,2,겨울,147759214,"['밀라 요보비치', '윌 패튼']",7.26
1333,치즈인더트랩,김제영,리틀빅픽쳐스,2018-03-14,장편,한국,364,1890873700,229005,멜로/로맨스,15세관람가,일반영화,2018,3,봄,216385269,"['박해진', '오연서', '박기웅', '유인영']",5.08
1334,컨테이젼,스티븐 소더버그,워너브러더스 코리아,2011-09-22,장편,미국,226,1782554000,228899,액션,12세관람가,일반영화,2011,9,가을,159724465,"['마리옹 꼬띠아르', '맷 데이먼', '로렌스 피시번', '주드 로', '기네스 팰트로', '케이트 윈슬렛']",8.29
1335,쓰리데이즈 투 킬,맥지,롯데엔터테인먼트,2014-04-03,장편,미국,388,1741058200,228539,액션,15세관람가,일반영화,2014,4,봄,215068958,"['헤일리 스테인펠드', '앰버 허드', '케빈 코스트너', '코니 닐슨']",7.37
1336,극장판 도라에몽: 진구의 공룡대탐험,와타나베 아유무,대원미디어,2009-07-15,장편,일본,135,1481894577,228143,애니메이션,전체관람가,일반영화,2009,7,여름,155398654,['미즈타 와사비'],8.09
1337,캐빈 인 더 우즈,드류 고다드,롯데엔터테인먼트,2012-06-28,장편,미국,288,1710273500,228090,공포(호러),청소년관람불가,일반영화,2012,6,여름,194890587,"['크리스 헴스워스', '크리스튼 코놀리', '안나 허치슨', '프란 크랜즈', '제시 윌리엄스', '리차드 젠킨스', '시고니 위버']",7.02
1338,일곱난쟁이,헤랄드 지페르만,플러스엠 엔터테인먼트,2014-12-24,장편,독일,263,1622195700,227586,애니메이션,전체관람가,일반영화,2014,12,겨울,215068958,"['조슈아 그레이엄', '맷 길버트']",7.85
1339,바빌론 A.D.,마티유 카소비츠,이십세기폭스코리아,2008-10-02,장편,미국,163,1483575500,227354,SF,12세관람가,일반영화,2008,10,가을,147428639,"['빈 디젤', '멜라니 티에리', '양자경']",3.57
1340,캐시트럭,가이 리치,스튜디오 산타클로스엔터테인먼트,2021-06-09,장편,미국,938,2157864790,227065,액션,청소년관람불가,일반영화,2021,6,여름,60531087,"['제이슨 스타뎀', '스콧 이스트우드', '조쉬 하트넷', '포스트 말론', '홀트 맥칼라니', '제프리 도노반']",7.93
1341,딥,줄리오 소토 거피드,이수C&E,2017-10-03,장편,기타,441,1746940500,226933,애니메이션,전체관람가,독립/예술영화,2017,10,가을,219876227,"['심규혁', '사문영', '이인성', '이지현']",8.05
1342,크루즈 패밀리: 뉴 에이지,조엘 크로포드,유니버설픽쳐스인터내셔널 코리아,2021-05-05,장편,미국,1082,1987680700,226358,애니메이션,전체관람가,일반영화,2021,5,봄,60531087,"['엠마 스톤', '라이언 레이놀즈', '니콜라스 케이지', '피터 딘클리지', '켈리 마리 트란']",9.07
1343,극장판 루팡 3세 VS 명탐정 코난,카메가키 하지메,씨제이이엔엠,2014-05-29,장편,일본,327,1585872205,225842,애니메이션,12세관람가,일반영화,2014,5,봄,215068958,"['스기모토 유', '타카야마 미나미', '쿠리타 칸이치']",8.79
1344,잡스,조슈아 마이클 스턴,넥스트엔터테인먼트월드,2013-08-29,장편,미국,402,1594113136,225146,드라마,12세관람가,일반영화,2013,8,여름,213351030,"['애쉬튼 커쳐', '조시 게드', '더모트 멀로니', '매튜 모딘']",7.3
1345,분노의 윤리학,박명랑,롯데엔터테인먼트,2013-02-21,장편,한국,302,1654554000,224891,스릴러,청소년관람불가,일반영화,2013,2,겨울,213351030,"['이제훈', '조진웅', '김태훈', '곽도원', '문소리']",6.8
